,Book,Author,Description,Genres,Avg_Rating,Num_Ratings,URL
1309,The Book of Illusions,Paul Auster,"Six months after losing his wife and two young sons, Vermont Professor David Zimmer spends his waking hours mired in a blur of alcoholic grief and self-pity. Then one night, he stumbles upon a clip from a lost film by silent comedian Hector Mann. His interest is piqued, and he soon finds himself embarking on a journey around the world to research a book on this mysterious figure, who vanished from sight back in 1929.When the book is published the following year, a letter turns up in Zimmer’s mailbox bearing a return address from a small town in New Mexico inviting him to meet Hector. Zimmer hesitates, until one night a strange woman appears on his doorstep and makes the decision for him, changing his life forever.","['Fiction', 'Mystery', 'American', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction']",3.9,"23,212",https://www.goodreads.com/book/show/50618.The_Book_of_Illusions
1310,Just So Stories,Rudyard Kipling,"Librarian's Note: Alternate cover edition can be found here.Twelve stories about animals, insects, and other subjects include How the Camel Got His Hump. The Butterfly That Stamped, and How the Alphabet Was Made..","['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Fantasy', 'Animals', 'Young Adult']",4.06,"47,410",https://www.goodreads.com/book/show/34053.Just_So_Stories
1311,Slave to the Dream: Everyone’s Dream,Gaylan D. Wright,"Slave to the Dream: Everyone’s Dream is a work of non-fiction written in the style of a memoir by author Gaylan D. Wright. Sometimes focusing on some tragic and/or surprising events that more sensitive readers may not wish to experience, this candid and honest account details the history of the author’s eighteen-year career with the Wyoming Highway Patrol. Discussing themes of the American Dream and the true measure of success in life, Wright takes us through the life of a trooper from training to tragedy and back again, with the idea that dreams are not always what they seem, for worse and for better.","['Drama', 'How To']",4.23,296,https://www.goodreads.com/book/show/56632030-slave-to-the-dream
1312,The True Story of the 3 Little Pigs,Jon Scieszka,"You thought you knew the story of the “The Three Little Pigs”… You thought wrong. In this hysterical and clever fracture fairy tale picture book that twists point of view and perspective, young readers will finally hear the other side of the story of “The Three Little Pigs.”","['Picture Books', 'Childrens', 'Fiction', 'Humor', 'Animals', 'Fantasy', 'Fairy Tales']",4.31,"187,481",https://www.goodreads.com/book/show/125507.The_True_Story_of_the_3_Little_Pigs
1313,Lost Horizon,James Hilton,"While attempting to escape a civil war, four people are kidnapped and transported to the Tibetan mountains. After their plane crashes, they are found by a mysterious Chinese man. He leads them to a monastery hidden in ""the valley of the blue moon"" -- a land of mystery and matchless beauty where life is lived in tranquil wonder, beyond the grasp of a doomed world.It is here, in Shangri-La, where destinies will be discovered and the meaning of paradise will be unveiled.","['Fiction', 'Classics', 'Fantasy', 'Adventure', 'Historical Fiction', 'Literature', 'Novels']",3.95,"21,008",https://www.goodreads.com/book/show/2978.Lost_Horizon
1314,The Top Five Teachings: An Asian Exploration of the Mysteries of Christ,Randy Loubier,"The mysteries of Christ are meant to be explored by everyone. Every background, every race, every spiritual heritage is invited. Yet, it might not seem that way; Christianity can often seem foreign and awkward, even to Christians.The Tea Room Scrolls is a bridge in the Asian garden. At the height of the bridge, two groups of people will meet in this study: those familiar with Asian spiritual traditions, and Christians wanting to explore Jesus’ teachings from a new vantage point. From the safety of the bridge, and with no pressure to step off the bridge, you will explore the mysteries of Jesus Christ in a fascinating format.Mankind has questions—about the purpose of life, the path of blessed living, the way to live in peace, the pursuit of abundant joy. The Tea Room Scrolls is a mindful and spiritual adventure you will never forget as you ponder Jesus’ answers to the most important questions of life.Come up onto the bridge and enjoy the view in this eight week self-study course.Best-selling author Randy Loubier spent 50 years pursuing the Asian spiritual traditions of Shinto, Taoism, Hindu and Buddhism, all the while convinced that Christians were weak people who were deluded by a book written by ancient kings to control the masses. When he finally read the Bible for himself, he discovered something extraordinary: Jesus’ teachings not only brought radical joy to his life, but are a far better fit to the Asian culture than the West! Your perspective is about to be stretched because...“Western Christians are often blind to some vital teachings of Jesus!”“Asian spiritualists are closer than they think to the Kingdom of Heaven!”Included in Volume 1:Vital Introductory MaterialThe Full Grid RevealedIn-Depth Study: Top Row",['Inspirational'],4.16,431,https://www.goodreads.com/book/show/56650597-the-top-five-teachings
1315,"Stillhouse Lake (Stillhouse Lake, #1)",Rachel Caine,"Gina Royal is the definition of average—a shy Midwestern housewife with a happy marriage and two adorable children. But when a car accident reveals her husband’s secret life as a serial killer, she must remake herself as Gwen Proctor—the ultimate warrior mom.With her ex now in prison, Gwen has finally found refuge in a new home on remote Stillhouse Lake. Though still the target of stalkers and Internet trolls who think she had something to do with her husband’s crimes, Gwen dares to think her kids can finally grow up in peace.But just when she’s starting to feel at ease in her new identity, a body turns up in the lake—and threatening letters start arriving from an all-too-familiar address. Gwen Proctor must keep friends close and enemies at bay to avoid being exposed—or watch her kids fall victim to a killer who takes pleasure in tormenting her. One thing is certain: she’s learned how to fight evil. And she’ll never stop.","['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook']",4.12,"137,702",https://www.goodreads.com/book/show/33128934-stillhouse-lake
1316,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Alternate cover edition of ASIN B004XISI4AIn the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance—beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind.Fleeing from Westeros with a price on his head, Tyrion Lannister, too, is making his way to Daenerys. But his newest allies in this quest are not the rag-tag band they seem, and at their heart lies one who could undo Daenerys’s claim to Westeros forever.Meanwhile, to the north lies the mammoth Wall of ice and stone—a structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night’s Watch, will face his greatest challenge. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice.From all corners, bitter conflicts reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves, will face seemingly insurmountable obstacles. Some will fail, others will grow in the strength of darkness. But in a time of rising restlessness, the tides of destiny and politics will lead inevitably to the greatest dance of all.","['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Dragons', 'Adult']",4.33,"623,604",https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
1317,"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,"Meet Dexter Morgan, a polite wolf in sheep's clothing. He's handsome and charming, but something in his past has made him abide by a different set of rules. He's a serial killer whose one golden rule makes him immensely likeable: he only kills bad people. And his job as a blood spatter expert for the Miami police department puts him in the perfect position to identify his victims. But when a series of brutal murders bearing a striking similarity to his own style start turning up, Dexter is caught between being flattered and being frightened—of himself or some other fiend.","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Horror', 'Mystery Thriller', 'Suspense']",3.9,"203,123",https://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter
1318,"Number 13 (Lightmasters, #1)",M.G. Wells,"On her 13th birthday, Jessica is lured into the forest by a strange spiral light. In the woods she encounters three mystical LIGHTMASTERS, who convince her that she has magical gifts. Intrigued, Jessica is transported to another dimension where she is tested for her courage and strength. Follow Jessica as she conquers her fears and helps save Earth from an invisible alien enemy who hates humans.","['Fantasy', 'Adventure', 'Mystery', 'Young Adult', 'Magic', 'Paranormal', 'Fiction']",4.11,253,https://www.goodreads.com/book/show/11805486-number-13
1319,The Gordonston Ladies Dog Walking Club (The Gordonston Ladies Dog Walking Club #1),Duncan Whitehead,"2013 Readers' Favorite International Book Awards Winner and Gold Medalist.Something is not quite right in the leafy Savannah neighborhood of Gordonston. As the friends and fellow members of her afternoon cocktail club gather to mourn the death and lament the life of their neighbor, Thelma Miller, not all is what it seems.When old friends vie for the attention of widower, Alderman and mayoral candidate Elliott, jealousies surface and friendships are strained. An old woman with a dark secret and an infamous uncle plots her revenge for a perceived wrong done over thirty years before, a once successful children’s writer with his own secret is haunted by memories of the past and aspiring model Kelly Hudd has just won the trip of a lifetime.As secrets are revealed and history, both old and recent unravel, and an intertwined web of deceits and lies surfaces in the middle class neighborhood, a killer lurks and is anyone really who they seem to be? An enigmatic European gentleman in South America, a young Italian count parading the streets of Paris and a charitable and kindhearted nephew recently arrived from India add to the remarkable assortment of characters in this story of intrigue, deceit and revenge. What is the secret a recently retired accountant is trying to hide and just why did the former showgirl and attractive sixty two year old widow Carla Zipp really have plastic surgery?A mysterious organization with links to organized crime, a handsome fire fighter who can do no wrong and a trio of widows with deep hidden agendas compound a story of simplistic complexity. As twists and turns lead the reader to a conclusion that they will not see coming and a sucker punch ending that will leave you breathless, the Gordonston Ladies Dog Walking Club’s top priority remains the need to chastise the culprit who refuses to ‘scoop’ after his dog walking sessions in their treasured park.FINALIST IN THE 2013 READER'S FAVORITE ANNUAL INTERNATIONAL AWARD CONTEST IN THE HUMOR CATEGORY - WINNER ANNOUNCED SEPTEMBER 2013.","['Mystery', 'Fiction', 'Mystery Thriller', 'Thriller', 'Suspense', 'Contemporary', 'Cozy Mystery']",3.4,"3,062",https://www.goodreads.com/book/show/16174821-the-gordonston-ladies-dog-walking-club
1320,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Considered to be one of Agatha Christie's greatest, and also most controversial mysteries, 'The Murder Of Roger Ackroyd' breaks the rules of traditional mystery. The peaceful English village of King’s Abbot is stunned. The widow Ferrars dies from an overdose of Veronal. Not twenty-four hours later, Roger Ackroyd—the man she had planned to marry—is murdered. It is a baffling case involving blackmail and death that taxes Hercule Poirot’s “little grey cells” before he reaches one of the most startling conclusions of his career.Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. These are just the novels; Poirot also appears in this period in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel, play and short story has its own entry on Goodreads.","['Mystery', 'Fiction', 'Classics', 'Crime', 'Mystery Thriller', 'Detective', 'Thriller']",4.26,"238,384",https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd
1321,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"In the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.Then, one by one, they began to be killed off. One Osage woman, Mollie Burkhart, watched as her family was murdered. Her older sister was shot. Her mother was then slowly poisoned. And it was just the beginning, as more Osage began to die under mysterious circumstances.In this last remnant of the Wild West—where oilmen like J. P. Getty made their fortunes and where desperadoes such as Al Spencer, “the Phantom Terror,” roamed – virtually anyone who dared to investigate the killings were themselves murdered. As the death toll surpassed more than twenty-four Osage, the newly created F.B.I. took up the case, in what became one of the organization’s first major homicide investigations. But the bureau was then notoriously corrupt and initially bungled the case. Eventually the young director, J. Edgar Hoover, turned to a former Texas Ranger named Tom White to try to unravel the mystery. White put together an undercover team, including one of the only Native American agents in the bureau. They infiltrated the region, struggling to adopt the latest modern techniques of detection. Together with the Osage they began to expose one of the most sinister conspiracies in American history.A true-life murder mystery about one of the most monstrous crimes in American history.","['Nonfiction', 'History', 'True Crime', 'Crime', 'Audiobook', 'Mystery', 'Historical']",4.1,"195,861",https://www.goodreads.com/book/show/29496076-killers-of-the-flower-moon
1322,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Agatha Christie's debut novel was also the first to feature Hercule Poirot, her famously eccentric Belgian detective. A refugee of the Great War, Poirot has settled in England near Styles Court, the country estate of his wealthy benefactor, the elderly Emily Inglethorp. When Emily is poisoned and the authorities are baffled, Poirot puts his prodigious sleuthing skills to work. Suspects are plentiful, including the victim’s much younger husband, her resentful stepsons, her longtime hired companion, a young family friend working as a nurse, and a London specialist on poisons who just happens to be visiting the nearby village. All of them have secrets they are desperate to keep, but none can outwit Poirot as he navigates the ingenious red herrings and plot twists that contribute to Agatha Christie's well-deserved reputation as the queen of mystery.Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. Poirot also appears, in this period, in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel and short story has its own entry on Goodreads.","['Mystery', 'Fiction', 'Classics', 'Crime', 'Mystery Thriller', 'Audiobook', 'Detective']",4,"377,475",https://www.goodreads.com/book/show/16343.The_Mysterious_Affair_at_Styles
1323,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"The #1 New York Times bestseller: ""It is the work of our greatest financial journalist, at the top of his game. And it's essential reading.""—Graydon Carter, Vanity FairThe real story of the crash began in bizarre feeder markets where the sun doesn't shine and the SEC doesn't dare, or bother, to tread: the bond and real estate derivative markets where geeks invent impenetrable securities to profit from the misery of lower- and middle-class Americans who can't pay their debts. The smart people who understood what was or might be happening were paralyzed by hope and fear; in any case, they weren't talking.Michael Lewis creates a fresh, character-driven narrative brimming with indignation and dark humor, a fitting sequel to his #1 bestseller Liar's Poker. Out of a handful of unlikely-really unlikely-heroes, Lewis fashions a story as compelling and unusual as any of his earlier bestsellers, proving yet again that he is the finest and funniest chronicler of our time.","['Nonfiction', 'Business', 'Economics', 'Finance', 'History', 'Politics', 'Audiobook']",4.29,"154,365",https://www.goodreads.com/book/show/26889576-the-big-short
1324,Imperial Bedrooms,Bret Easton Ellis,"Twenty-five years on from ""Less Than Zero"", we pick up again with ""Clay"". In 1985, Bret Easton Ellis shocked, stunned, and disturbed with ""Less Than Zero"", his 'extraordinarily accomplished first novel' (""New Yorker""), successfully chronicling the frightening consequences of unmitigated hedonism within the ranks of the ethically bereft youth of 80s Los Angeles. Now, twenty-five years later, Ellis returns to those same characters: to Clay and the band of infamous teenagers whose lives weave sporadically through his. But now, some years on, they face an even greater period of disaffection: their own middle age. Clay seems to have moved on - he's become a successful screenwriter - but when he returns from New York to Los Angeles, to help cast his new movie, he's soon drifting through a long-familiar circle. Blair, his former girlfriend, is now married to Trent, and their Beverly Hills parties attract excessive levels of fame and fortune, though for all that Trent is a powerful manager, his baser instincts remain: he's still a bisexual philanderer. Then there's Clay's childhood friend, Julian - who's now a recovering addict - and their old dealer, Rip - face-lifted beyond recognition and seemingly even more sinister than he was in his notorious past. Clay, too, struggles with his own demons after a meeting with a gorgeous actress determined to win a role in his movie. And with his life careening out of control, he's forced to come to terms with the deepest recesses of his character - and with his seemingly endless proclivity for betrayal.","['Fiction', 'Contemporary', 'American', 'Novels', 'Horror', 'Literary Fiction', 'Thriller']",3.19,"18,049",https://www.goodreads.com/book/show/7519866-imperial-bedrooms
1325,Bad Science,Ben Goldacre,"How do we know if a treatment works, or if something causes cancer? Can the claims of homeopaths ever be as true - or as interesting - as the improbable research into the placebo effect? Who created the MMR hoax? Do journalists understand science? Why do we seek scientific explanations for social, personal and political problems? Are alternative therapists and the pharmaceutical companies really so different, or do they just use the same old tricks to sell different types of pill?We are obsessed with our health. And yet - from the media's ""world-expert microbiologist"" with a mail-order Ph.D. in his garden shed laboratory, via multiple health scares and miracle cures, to the million-pound trial that Durham Council now denies ever existed - we are constantly bombarded with inaccurate, contradictory and sometimes even misleading information. Until now.Ben Goldacre masterfully dismantles the dodgy science behind some of the great drug trials, court cases and missed opportunities of our time, but he also goes further: out of the bullshit, he shows us the fascinating story of how we know what we know, and gives us the tools to uncover bad science for ourselves.","['Science', 'Nonfiction', 'Medicine', 'Popular Science', 'Health', 'Psychology', 'Medical']",4.06,"42,005",https://www.goodreads.com/book/show/3272165-bad-science
1326,The Hour I First Believed,Wally Lamb,"Wally Lamb's two previous novels, She's Come Undone and I Know This Much Is True, struck a chord with readers. They responded to the intensely introspective nature of the books, and to their lively narrative styles and biting humor. In The Hour I First Believed, Lamb travels well beyond his earlier work and embodies in his fiction myth, psychology, family history stretching back many generations, and the questions of faith that lie at the heart of everyday life. The result is an extraordinary tour de force, at once a meditation on the human condition and an unflinching yet compassionate evocation of character.When forty-seven-year-old high school teacher Caelum Quirk and his younger wife, Maureen, a school nurse, move to Littleton, Colorado, they both get jobs at Columbine High School. In April 1999, Caelum returns home to Three Rivers, Connecticut, to be with his aunt who has just had a stroke. But Maureen finds herself in the school library at Columbine, cowering in a cabinet and expecting to be killed, as two vengeful students go on a carefully premeditated, murderous rampage. Miraculously she survives, but at a cost: she is unable to recover from the trauma. Caelum and Maureen flee Colorado and return to an illusion of safety at the Quirk family farm in Three Rivers. But the effects of chaos are not so easily put right, and further tragedy ensues. While Maureen fights to regain her sanity, Caelum discovers a cache of old diaries, letters, and newspaper clippings in an upstairs bedroom of his family's house. The colorful and intriguing story they recount spans five generations of Quirk family ancestors, from the Civil War era to Caelum's own troubled childhood. Piece by piece, Caelum reconstructs the lives of the women and men whose legacy he bears. Unimaginable secrets emerge; long-buried fear, anger, guilt, and grief rise to the surface. As Caelum grapples with unexpected and confounding revelations from the past, he also struggles to fashion a future out of the ashes of tragedy. His personal quest for meaning and faith becomes a mythic journey that is at the same time quintessentially contemporary -- and American.The Hour I First Believed is a profound and heart-rending work of fiction. Wally Lamb proves himself a virtuoso storyteller, assembling a variety of voices and an ensemble of characters rich enough to evoke all of humanity.","['Fiction', 'Historical Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Literary Fiction', 'Drama']",3.82,"61,425",https://www.goodreads.com/book/show/3086160-the-hour-i-first-believed
1327,The Last Prophet,Jeff W. Horton,"Would you believe it if someone told you that you were one of the last two prophets mentioned in the book of Revelation? It is the End of Days. The power of the Antichrist and his grip on humanity grows stronger with each passing day, enabling him to deceive the world and entice humanity into joining him in his corruption, and in his eternal punishment. With the help of the False Prophet, the Beast persuades many to fall down and worship him, also forcing them to take his mark. When someone tells John March that he has been chosen by God to become the last of the two prophets mentioned in the book of Revelation, he doesn’t believe it. After a visitation by an angel followed by a miraculous sign however, he becomes convinced that it is true and decides to embrace his calling, despite learning that doing so will lead to his untimely death. March begins his mission by proclaiming God's message: that the End of Days is at hand, to beware the growing power and influence of the Beast, and to know that the Second Coming of Jesus Christ is imminent. Supernatural disasters, including a worldwide drought, rivers of blood, massive earthquakes, and a devastating asteroid, testify that the end of the world is at hand. Join John March on his journey to becoming, The Last Prophet.","['Christian', 'Science Fiction', 'Fiction', 'Christian Fiction']",3.97,106,https://www.goodreads.com/book/show/11021735-the-last-prophet
1328,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,"Rock star, crowdfunding pioneer, and TED speaker Amanda Palmer knows all about asking. Performing as a living statue in a wedding dress, she wordlessly asked thousands of passersby for their dollars. When she became a singer, songwriter, and musician, she was not afraid to ask her audience to support her as she surfed the crowd (and slept on their couches while touring). And when she left her record label to strike out on her own, she asked her fans to support her in making an album, leading to the world's most successful music Kickstarter.Even while Amanda is both celebrated and attacked for her fearlessness in asking for help, she finds that there are important things she cannot ask for-as a musician, as a friend, and as a wife. She learns that she isn't alone in this, that so many people are afraid to ask for help, and it paralyzes their lives and relationships. In this groundbreaking book, she explores these barriers in her own life and in the lives of those around her, and discovers the emotional, philosophical, and practical aspects of The Art Of Asking.Part manifesto, part revelation, this is the story of an artist struggling with the new rules of exchange in the twenty-first century, both on and off the Internet. The Art Of Asking will inspire readers to rethink their own ideas about asking, giving, art, and love.","['Nonfiction', 'Memoir', 'Biography', 'Self Help', 'Audiobook', 'Music', 'Art']",3.92,"35,385",https://www.goodreads.com/book/show/20980987-the-art-of-asking-or-how-i-learned-to-stop-worrying-and-let-people-hel
1329,"Frostbite (Vampire Academy, #2)",Richelle Mead,"Rose loves Dimitri, Dimitri might love Tasha, and Mason would die to be with Rose…It’s winter break at St. Vladimir’s, but Rose is feeling anything but festive. A massive Strigoi attack has put the school on high alert, and now the Academy’s crawling with Guardians—including Rose’s hard-hitting mother, Janine Hathaway. And if hand-to-hand combat with her mom wasn’t bad enough, Rose’s tutor Dimitri has his eye on someone else, her friend Mason’s got a huge crush on her, and Rose keeps getting stuck in Lissa’s head while she’s making out with her boyfriend, Christian! The Strigoi are closing in, and the Academy’s not taking any risks.... This year, St. Vlad’s annual holiday ski trip is mandatory.But the glittering winter landscape and the posh Idaho resort only create the illusion of safety. When three friends run away in an offensive move against the deadly Strigoi, Rose must join forces with Christian to rescue them. But heroism rarely comes without a price…","['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']",4.26,"343,806",https://www.goodreads.com/book/show/2282133.Frostbite
1330,Haunted,Chuck Palahniuk,"Haunted is a novel made up of stories: twenty-three of the most horrifying, hilarious, mind-blowing, stomach-churning tales you'll ever encounter.The stories are told by people who have all answered an ad headlined 'Artists Retreat: Abandon your life for three months'. They are led to believe that here they will leave behind all the distractions of 'real life' that are keeping them from creating the masterpiece that is in them. But 'here' turns out to be a cavernous and ornate old theater where they are utterly isolated from the outside world - and where heat and power and, most importantly, food are in increasingly short supply. And the more desperate the circumstances become, the more desperate the stories they tell - and the more devious their machinations to make themselves the hero of the inevitable play/movie/non-fiction blockbuster that will certainly be made from their plight.","['Horror', 'Fiction', 'Short Stories', 'Contemporary', 'Thriller', 'Adult', 'Novels']",3.6,"99,412",https://www.goodreads.com/book/show/22288.Haunted
1331,Apology,Plato,"The Apology of Socrates is Plato's version of the speech given by Socrates as he unsuccessfully defended himself in 399BCE against the charges of ""corrupting the young, and by not believing in the gods in whom the city believes, but in other daimonia that are novel"" (24b). ""Apology"" here has its earlier meaning (now usually expressed by the word ""apologia"") of speaking in defense of a cause or of one's beliefs or actions.The revised edition of this popular textbook features revised vocabulary and grammatical notes that now appear on the same page as the text, sentence diagrams, principal parts of verbs listed both by Stephanus page and alphabetically, word frequency list for words occurring more than twice, and complete vocabulary.","['Philosophy', 'Classics', 'Nonfiction', 'History', 'Politics', 'Ancient', 'School']",4.2,"50,030",https://www.goodreads.com/book/show/73945.Apology
1332,Ham on Rye,Charles Bukowski,"In what is widely hailed as the best of his many novels, Charles Bukowski details the long, lonely years of his own hardscrabble youth in the raw voice of alter ego Henry Chinaski. From a harrowingly cheerless childhood in Germany through acne-riddled high school years and his adolescent discoveries of alcohol, women, and the Los Angeles Public Library's collection of D. H. Lawrence, ""Ham on Rye"" offers a crude, brutal, and savagely funny portrait of an outcast's coming-of-age during the desperate days of the Great Depression.","['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Coming Of Age', 'Contemporary']",4.15,"99,380",https://www.goodreads.com/book/show/38501.Ham_on_Rye
1333,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"The Audacity of Hope is Barack Obama's call for a new kind of politics—a politics that builds upon those shared understandings that pull us together as Americans. Lucid in his vision of America's place in the world, refreshingly candid about his family life and his time in the Senate, Obama here sets out his political convictions and inspires us to trust in the dogged optimism that has long defined us and that is our best hope going forward.","['Nonfiction', 'Politics', 'Biography', 'Memoir', 'Audiobook', 'Autobiography', 'History']",3.82,"161,124",https://www.goodreads.com/book/show/9742.The_Audacity_of_Hope
1334,The Storyteller,Jodi Picoult,"Some stories live forever . . .Sage Singer is a baker. She works through the night, preparing the day’s breads and pastries, trying to escape a reality of loneliness, bad memories, and the shadow of her mother’s death. When Josef Weber, an elderly man in Sage’s grief support group, begins stopping by the bakery, they strike up an unlikely friendship. Despite their differences, they see in each other the hidden scars that others can’t, and they become companions.Everything changes on the day that Josef confesses a long-buried and shameful secret—one that nobody else in town would ever suspect—and asks Sage for an extraordinary favor. If she says yes, she faces not only moral repercussions, but potentially legal ones as well. With her own identity suddenly challenged, and the integrity of the closest friend she’s ever had clouded, Sage begins to question the assumptions and expectations she’s made about her life and her family. When does a moral choice become a moral imperative? And where does one draw the line between punishment and justice, forgiveness and mercy?In this searingly honest novel, Jodi Picoult gracefully explores the lengths we will go in order to protect our families and to keep the past from dictating the future","['Fiction', 'Historical Fiction', 'Holocaust', 'Historical', 'Contemporary', 'Adult Fiction', 'World War II']",4.29,"205,042",https://www.goodreads.com/book/show/15753740-the-storyteller
1335,The Case for Christ,Lee Strobel,"There's little question that he actually lived. But miracles? Rising from the dead? Some of the stories you hear about him sound like just that - stories. A reasonable person would never believe them, let alone the claim that he's the only way to God! But a reasonable person would also make sure that he or she understood the facts before jumping to conclusions. That's why Lee Strobel - an award-winning legal journalist with a knack for asking tough questions - decided to investigate Jesus for himself. An atheist, Strobel felt certain his findings would bring Christianity's claims about Jesus tumbling down like a house of cards. He was in for the surprise of his life. Join him as he retraces his journey from skepticism to faith. You'll consult expert testimony as you sift through the truths that history, science, psychiatry, literature, and religion reveal. Like Strobel, you'll be amazed at the evidence - how much there is, how strong it is, and what it says. The facts are in. What will your verdict be in The Case for Christ?","['Christian', 'Nonfiction', 'Religion', 'Christianity', 'Faith', 'Theology', 'Spirituality']",4.19,"123,606",https://www.goodreads.com/book/show/73186.The_Case_for_Christ
1336,Fangirl,Rainbow Rowell,"A coming-of-age tale of fanfiction, family, and first love.Cath is a Simon Snow fan. Okay, the whole world is a Simon Snow fan.... But for Cath, being a fan is her life—and she's really good at it. She and her twin, Wren, ensconced themselves in the Simon Snow series when they were just kids; it's what got them through their mother leaving.Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fanfiction, dressing up like the characters for every movie premiere. Cath's sister has mostly grown away from fandom, but Cath can't let go. She doesn't want to.Now that they're going to college, Wren has told Cath she doesn't want to be roommates. Cath is on her own, completely outside of her comfort zone. She's got a surly roommate with a charming, always-around boyfriend; a fiction-writing professor who thinks fanfiction is the end of the civilized world; a handsome classmate who only wants to talk about words... and she can't stop worrying about her dad, who's loving and fragile and has never really been alone.For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? And does she even want to move on if it means leaving Simon Snow behind?","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'New Adult', 'Audiobook']",3.97,"716,937",https://www.goodreads.com/book/show/16068905-fangirl
1337,"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,Scotland Yard Inspector Alan Grant is intrigued by a portrait of Richard III. Could such a sensitive face actually belong to a heinous villain — a king who killed his brother's children to secure his crown? Grant seeks what kind of man Richard was and who in fact killed the princes in the tower.,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Classics', 'Mystery Thriller']",3.91,"31,268",https://www.goodreads.com/book/show/77661.The_Daughter_of_Time
